customer_id,interaction,uid,city,state,country,zip,lat,lng,population,area,job,children,age,income,marital,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internet_service,phone,multiple,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,day_time,year,bandwidth_gb_year
P780501,69fbc82f-1ea2-47a2-a056-d6f8d428b687,994c0d689a45958a51dde0312f52258b,Yamhill,MI,San Diego,12719,39.96636,-83.01286,1284,Urban,Geophysical data processor,3,77,41756.12,Divorced,Male,No,9.018827,18,1,0,No,Two Year,No,Yes,DSL,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),68.90605,257.6513,Afternoon,2022,6904.05739
U741276,1937a759-91b7-4390-80f1-6f8e7d81e058,3bc3a28af4d353a18ab1173dabdc6496,Point Baker,MI,Yamhill,80930,42.96153,-94.64179,1995,Urban,"Designer, multimedia",3,31,23693.22,Widowed,Male,No,12.94709,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,71.40639,242.6281,Afternoon,2021,6900.075325
X316139,ab3bfaf3-94f1-4a14-b577-0e57178a7645,adab17955634cf8ec0cd47d8d89c352c,West Branch,CA,Fort Bend,50579,45.10333,-67.47223,2682,Urban,Event organiser,2,31,28469.37,Divorced,Male,No,14.01042,9,0,0,No,One year,Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,69.83213,242.6106,Afternoon,2022,6894.321474
Y148523,30a2f575-54cc-4894-96b8-358317896f43,c741e189e7837dca1ae8e031402b447d,Yamhill,CA,Ogemaw,28667,39.08339,-84.02314,453,Suburban,Equality and diversity officer,3,76,38126.77,Widowed,Female,Yes,9.660271,15,1,0,No,Month-to-month,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),71.94498,197.484,Morning,2022,6879.458804
F830666,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,6cab409a353f4b1e618308bb6383f4ae,West Branch,TX,Yamhill,47468,29.75675,-81.30311,1539,Suburban,Counsellor,1,79,38395.52,Separated,Male,Yes,7.593547,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),71.99373,222.6143,Morning,2022,6877.221038
S46702,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,f7184e21cba24f672130af4181ace3fc,Needville,TX,Fort Bend,39667,36.00209,-108.62285,12418,Suburban,Psychiatrist,1,24,25163.87,Married,Female,Yes,12.97823,15,0,1,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,71.82981,177.4945,Morning,2022,6873.906816
M543828,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,8f35529b5d78c0c900635ceebf6b84cb,Del Mar,MI,Ogemaw,61847,41.7812,-83.48594,1239,Urban,"Surveyor, commercial/residential",0,37,63467.94,Widowed,Female,Yes,8.366414,12,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,71.67868,222.6143,Afternoon,2022,6872.209499
Q825819,a49a3cbf-182c-49f5-b15f-e124582d2c8f,1e083de4b0dfeed53263515c8b8b26eb,Point Baker,OR,Yamhill,23453,44.24718,-72.74137,36138,Suburban,Civil Service administrator,3,28,70312.37,Separated,Female,Yes,11.25449,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),70.22928,197.484,Morning,2022,6865.467972
C280648,cddc4b08-7aae-4194-a75c-28bbcc8257f3,82bbe8f8a091353aad86806f5fabc658,Needville,MI,Yamhill,71346,39.04373,-77.04224,2689,Suburban,"Radiographer, diagnostic",4,65,9019.07,Never Married,Male,Yes,6.336993,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),70.62749,212.6415,Morning,2022,6863.899773
Z53820,79b827eb-46b9-4737-8484-0b670171bc4b,2018dab5fff54350716edea719cb3a9b,Del Mar,MI,Ogemaw,47340,43.11988,-75.32875,2848,Urban,Air traffic controller,9,53,15125.59,Married,Male,No,9.129946,14,0,0,No,Two Year,Yes,No,DSL,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),70.47803,222.6281,Afternoon,2022,6857.525674
T797871,5cffec4f-2316-4f97-b0d6-106888164492,e82cf64d7a0e5a2f0ef56b6dc68b08bb,West Branch,MI,Ogemaw,71479,41.30608,-84.56989,684,Urban,Dietitian,0,18,57067.4,Never Married,Female,No,9.190582,13,2,0,No,Two Year,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,69.5381,202.6362,Evening,2022,6857.221544
T560412,c7c6fcb5-eb79-438e-bf66-179ac491274e,f1641e36607077033891129802343682,Del Mar,AK,Ogemaw,10306,46.5512,-123.32437,53142,Urban,"Therapist, occupational",6,48,23778.28,Divorced,Female,Yes,8.330085,9,0,0,Yes,Month-to-month,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,69.66186,235.1372,Evening,2022,6856.666585
S583760,a81aaffc-186f-46d1-8378-ad11bcedde9c,5377bc298c0d723478837a5d98bc738b,Point Baker,TX,Ogemaw,24941,46.43517,-86.01334,1058,Urban,Building services engineer,5,36,24120.92,Separated,Male,Yes,12.57727,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,69.97238,245.147,Evening,2022,6854.114445
R577652,fd1b0111-3d91-460d-b26b-d52008c383f8,6db59b17dc83e5b8af6d312100ea2965,West Branch,CA,Prince of Wales-Hyder,75656,40.73772,-88.28785,4204,Urban,Information officer,4,41,23024.38,Widowed,Male,Yes,11.86028,15,1,0,No,One year,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,71.02583,220.1149,Evening,2022,6849.08497
N704991,c329889a-43ac-4d20-98f3-50d1c4c527fb,d8fc79b5e3193a0dd891a4b6afac838d,Needville,CA,San Diego,71724,42.28109,-84.75184,444,Urban,Outdoor activities/education manager,1,66,66778.9,Never Married,Male,Yes,15.95744,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,70.79968,212.6228,Afternoon,2021,6845.831296
V758564,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,f57314d251b601e0b1f18a432612c3ff,West Branch,TX,Fort Bend,86011,41.63306,-72.45472,9124,Suburban,Market researcher,2,23,13419.4,Never Married,Female,Yes,4.457169,16,1,1,Yes,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),70.54929,232.624,Morning,2021,6842.591894
V201961,1659c53c-7045-445c-a222-08c53851aac1,cdcabd9f398e96aa39936f87adde7dc0,West Branch,MI,Prince of Wales-Hyder,17113,41.10336,-74.68407,10727,Urban,"Surveyor, insurance",1,72,27058.36,Never Married,Female,No,7.88648,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,71.99132,222.6326,Evening,2022,6840.191109
T679908,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,7d59e47c0a72bb47918543996d0990ba,Del Mar,AK,San Diego,90822,38.93845,-76.99317,139,Suburban,Office manager,1,34,48804.01,Divorced,Female,No,9.649844,12,1,0,No,Two Year,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),71.58148,162.4653,Morning,2022,6839.025934
G924265,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,7e5b41b7d2ad340e17143f4066c3ab33,Needville,TX,Prince of Wales-Hyder,28611,40.37305,-75.2019,1162,Urban,Editorial assistant,1,49,25371.48,Divorced,Male,No,5.448899,10,1,1,No,Two Year,Yes,No,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,68.67656,212.6228,Afternoon,2022,6836.227251
K840087,3c086e5c-e913-43b6-90d0-30b15b7cd37f,bc2290835aee9167c09294399ef208c9,West Branch,AK,San Diego,65283,40.02145,-74.06183,429,Suburban,Customer service manager,3,42,18732.06,Divorced,Female,No,7.139813,12,1,0,Yes,Month-to-month,No,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,71.53607,127.4738,Morning,2021,6835.30081
J898814,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,72d20b3d5284a2af94ec2f39fba29c39,Del Mar,CA,Fort Bend,2725,40.26608,-78.45782,2421,Urban,"Production designer, theatre/television/film",3,43,72214.56,Married,Male,No,8.595905,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,71.97382,142.4526,Afternoon,2022,6833.821068
I951273,e677e4d4-13aa-4fde-a48e-e34b94f422cd,f8f47993d1fa402f133393f681022a3d,Point Baker,OR,San Diego,22747,34.35204,-97.25336,872,Suburban,Analytical chemist,4,48,22316.64,Divorced,Male,Yes,9.84351,11,1,2,Yes,Two Year,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),69.99165,222.6326,Morning,2022,6832.868436
B93818,d542a248-4059-4008-a6fb-b7bc6e897a1c,cbbc7e4acd904ad82aff342295cad7a0,Del Mar,AK,Yamhill,58103,40.52449,-79.08432,49344,Suburban,Print production planner,4,28,75384.42,Never Married,Male,No,10.20198,13,0,0,No,Two Year,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,69.99167,232.624,Morning,2022,6827.563026
A95964,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,d5dce7dccb69ce4e7a244f4b9e2ec508,Del Mar,MI,Prince of Wales-Hyder,95991,40.7955,-73.92968,40684,Suburban,Psychiatrist,0,45,31525.05,Never Married,Female,Yes,14.32129,6,0,0,Yes,Two Year,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),65.80384,267.6427,Morning,2021,6823.312804
K400482,79eb6124-9f8f-4329-90d1-903bd8bbb43d,2cf02d65e777660bee29aabf8338d7a0,Del Mar,OR,Yamhill,83424,46.07835,-88.03348,397,Urban,"Conservation officer, nature",2,81,49975.22,Divorced,Female,Yes,11.38322,5,1,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,71.31658,235.1417,Evening,2021,6821.289567
O967292,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,e0f8186edebc6ed9650b5dce5496960d,Yamhill,AK,Yamhill,5733,40.6998,-89.61143,5933,Suburban,Broadcast presenter,2,58,34267.42,Divorced,Male,Yes,15.80681,11,1,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),69.9263,255.1336,Morning,2021,6820.82156
O525545,a7cae1b4-3c31-4037-8755-ac692dba6d4c,96b1ca7a9b1642d44b22ac0e05fc47ec,West Branch,OR,Fort Bend,5486,48.68497,-122.19692,1666,Suburban,Applications developer,3,23,18533.9,Never Married,Female,Yes,6.565787,11,1,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),71.56031,187.6094,Morning,2021,6818.374228
Q292404,1df1db19-9bfc-407a-a72c-203fada5b5d3,0792f3196f67e1c2e518931ecba4ce51,Yamhill,OR,Ogemaw,67631,35.10444,-85.17661,149,Urban,"Librarian, public",1,30,8930.13,Separated,Female,No,12.89589,11,2,2,No,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),69.59294,190.127,Evening,2022,6818.04834
C86799,7abea12e-f7b4-4e5a-be09-6f9fb061f923,3d5a7f23e552c62a0921e1fa051e015f,Yamhill,CA,Fort Bend,74340,47.77527,-99.85,204,Suburban,Financial adviser,2,87,64541.1,Married,Female,No,10.89199,14,0,1,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,71.35208,200.1323,Morning,2021,6816.033585
S237899,6711579b-29d7-460e-bc34-10d4d1110a06,eba011bb46de58c6e2cea23d0097d290,Point Baker,TX,Ogemaw,68355,33.08977,-86.06138,4894,Suburban,"Surveyor, building",2,18,17092.77,Separated,Female,Yes,14.62128,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),69.87041,220.1149,Morning,2021,6815.305528
R257036,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,1b7ff908a8870766a8b463e23757aec4,Yamhill,TX,San Diego,67556,35.73451,-80.20925,288,Suburban,"Horticulturist, amenity",5,43,15157.92,Divorced,Female,Yes,11.88224,12,1,0,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),69.03254,202.65,Morning,2021,6814.653649
K768596,e0ad6b64-9210-4998-aa82-05b6bc33873f,4cc1941f0eddeb8b3d2d94de19b2769c,Needville,TX,San Diego,53508,32.6644,-91.19645,5729,Urban,Diagnostic radiographer,1,39,12142.88,Never Married,Female,No,5.575123,8,0,0,No,Month-to-month,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,71.62561,182.4433,Evening,2022,6814.250407
X681353,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,7b4e1744bba082cf026b16878ed94b79,Point Baker,MI,San Diego,63870,42.47954,-94.75105,974,Urban,"Doctor, general practice",0,54,27636.12,Separated,Female,Yes,8.449861,6,0,0,No,One year,No,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),68.53085,235.1555,Afternoon,2021,6809.432261
G272085,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,d2b5848d8ef49e1b6b68415e597d46e7,Needville,AK,San Diego,62824,40.95947,-99.37702,1711,Suburban,Insurance risk surveyor,0,64,56884.01,Widowed,Male,Yes,14.96457,11,2,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,69.67964,187.6094,Morning,2021,6806.914428
N466491,01051fb5-00df-4a7e-a284-b152a0b5ea47,3fc7c0a5a88aa3796474660502fbb05f,Del Mar,TX,Fort Bend,65672,37.44262,-81.57762,9437,Urban,Heritage manager,1,29,59802.63,Separated,Female,No,12.50338,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,70.20188,184.961,Evening,2022,6805.77977
P974421,79c4473e-fd88-46bc-a276-e21783d598eb,019a544457407fa24e77f7dfa224f2f7,Point Baker,CA,San Diego,73461,29.38147,-95.24205,784,Urban,Legal executive,1,67,11489.41,Married,Male,Yes,12.11043,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,71.39166,187.6094,Afternoon,2021,6799.703331
S541999,5ed9b266-29a0-489e-88e0-59f9a0b39e49,8518b3cdfe3bf58e2b262a154d64df01,Point Baker,AK,Ogemaw,10463,34.49127,-120.08222,71360,Urban,Professor Emeritus,1,31,61508.68,Widowed,Female,No,13.5414,11,0,1,No,Two Year,No,No,DSL,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,69.49734,222.6143,Evening,2021,6799.261898
U862685,626e918e-7e34-4b0a-a92c-bd60db4b6173,0091e1705b9d932e9ff7aaacac8738f6,Del Mar,CA,Fort Bend,90012,42.68864,-87.82515,35913,Urban,Radio producer,1,61,13511.2,Separated,Male,Yes,7.008065,15,2,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),67.98735,222.6143,Afternoon,2021,6792.669914
L79617,f16fa219-d489-4a93-b261-5dc4dc99e564,93c054f671b490bbe2c99b4c12337e92,Del Mar,AK,Yamhill,75127,32.12693,-83.06218,1740,Urban,Barrister's clerk,0,35,124025.1,Never Married,Female,No,11.01748,9,1,0,No,Two Year,No,No,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,71.74779,162.4608,Afternoon,2021,6789.002522
Q83387,97f617e1-f6f2-49c3-b317-542d7bb05d1c,97f71f48649e7ee23765f054867265a4,Point Baker,AK,San Diego,32621,35.3619,-95.26371,5394,Urban,"Engineer, automotive",1,36,4959.61,Never Married,Female,No,11.52597,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,67.08693,270.1604,Afternoon,2022,6786.879873
D381287,176d7713-b919-41c3-badf-676dc1abbf07,5b5794d3dbb6f9fed1f9201863915cbf,Del Mar,OR,Ogemaw,7470,40.37342,-89.52646,54190,Urban,Recruitment consultant,1,34,47088.97,Widowed,Male,No,10.3909,10,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,71.15596,139.965,Evening,2021,6783.004249
J470984,d73797a9-ae43-4fe0-8f43-c7db6456eee8,4025058646046e514a7c7e4e6201826e,Point Baker,MI,San Diego,48857,41.37478,-76.03486,2817,Suburban,Commercial horticulturist,0,64,30067.59,Separated,Female,Yes,8.42186,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,70.62164,242.6106,Morning,2022,6772.978906
B83164,9b56af1d-ccae-418c-a7e3-f1bc3964d09c,2c8f07dff8efc7ab26276074824df9c7,Needville,TX,San Diego,15745,34.088,-109.3232,203,Urban,"Pharmacist, community",1,58,81455.87,Widowed,Male,No,9.46119,15,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,71.2019,245.175,Evening,2021,6771.922364
T568788,7a1d7d58-f80c-47a6-933b-cf5e77d057a7,ceaf5a70e8500cb64025ddddebab1fab,Point Baker,MI,Yamhill,95919,36.20782,-77.08433,1182,Urban,Forest/woodland manager,1,39,61815.08,Divorced,Female,No,10.65972,13,0,0,Yes,Month-to-month,No,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,69.8304,162.4653,Evening,2021,6771.506746
B369070,65a865fb-9376-4428-b1ee-0049a7c55176,1d0e697f5bc6a63125b54fd3d61bbd99,West Branch,AK,Fort Bend,79766,38.29793,-120.62131,6815,Suburban,"Designer, graphic",2,51,32663.78,Never Married,Male,No,14.43716,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),69.56294,202.65,Morning,2022,6770.315596
